,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_3,diff_2,diff_4,label_0,label_1,label_2,label_3,len_path8,len_path7,len_path9,len_path11,len_path12,ann_shorter_1,ann_longer_1,len_path14,ann_longer_3,diff_1,ann_shorter_3,len_path6,len_path4,ann_shorter_2,ann_longer_2,diff_6,diff_5,len_path10,ann_longer_0,ann_shorter_4,ann_longer_4,len_path5,len_path13,diff_7,ann_shorter_5,ann_longer_5,diff_8,ann_shorter_7,diff_10,ann_longer_6,ann_shorter_6,diff_9,len_path15
1587730800.0,2020-04-24 12:20:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730860.0,2020-04-24 12:21:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587730920.0,2020-04-24 12:22:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,3,set(),24309,2,1,0,set(),,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730980.0,2020-04-24 12:23:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731040.0,2020-04-24 12:24:00,9,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,35,set(),24309,6,29,1,{'49.205.84.0/22'},1.0,1.0,3.0,0,0,0,0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1587731100.0,2020-04-24 12:25:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,27,set(),24309,1,26,0,set(),1.0,,,0,0,0,0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1587731160.0,2020-04-24 12:26:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731220.0,2020-04-24 12:27:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731280.0,2020-04-24 12:28:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731340.0,2020-04-24 12:29:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,42,set(),24309,5,37,0,set(),2.0,1.0,2.0,0,0,0,0,2.0,1.0,1.0,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587731400.0,2020-04-24 12:30:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731460.0,2020-04-24 12:31:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587731520.0,2020-04-24 12:32:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731580.0,2020-04-24 12:33:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587731640.0,2020-04-24 12:34:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,1,0,123,{'49.207.128.0/22'},24309,8,115,1,{'49.205.84.0/22'},3.0,1.0,2.0,0,0,0,0,3.0,2.0,2.0,,,3.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1587731700.0,2020-04-24 12:35:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,3,set(),24309,2,1,0,set(),,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587731760.0,2020-04-24 12:36:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731820.0,2020-04-24 12:37:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731880.0,2020-04-24 12:38:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731940.0,2020-04-24 12:39:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732000.0,2020-04-24 12:40:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732060.0,2020-04-24 12:41:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732120.0,2020-04-24 12:42:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,2,0,0,set(),,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732180.0,2020-04-24 12:43:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587732240.0,2020-04-24 12:44:00,9,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,136,set(),24309,7,129,0,set(),3.0,1.0,1.0,0,0,0,0,2.0,2.0,2.0,,,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1587732300.0,2020-04-24 12:45:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732360.0,2020-04-24 12:46:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
