,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587731460.0,2020-04-24 12:31:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731520.0,2020-04-24 12:32:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731580.0,2020-04-24 12:33:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731640.0,2020-04-24 12:34:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731700.0,2020-04-24 12:35:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731760.0,2020-04-24 12:36:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731820.0,2020-04-24 12:37:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731880.0,2020-04-24 12:38:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587731940.0,2020-04-24 12:39:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732000.0,2020-04-24 12:40:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587732060.0,2020-04-24 12:41:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
