,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_1,diff_3,diff_2,diff_7,label_0,label_1,label_2,label_3,len_path4,len_path5,len_path2,len_path9,len_path3,ann_shorter_3,ann_shorter_6,ann_longer_1,ann_longer_2,ann_longer_0,ann_longer_4,diff_4,len_path6,ann_shorter_2,ann_shorter_1,ann_longer_3,len_path7,ann_longer_6,diff_6,ann_shorter_4,ann_longer_7,diff_5,ann_shorter_5,ann_longer_5,len_path8,len_path10,diff_8,ann_shorter_7,len_path11,len_path12,diff_9,diff_11,len_path13,ann_shorter_9,ann_longer_8,ann_shorter_8,diff_10,diff_12,len_path14,ann_longer_9,ann_longer_10,ann_longer_11,ann_longer_12,diff_13,len_path15,ann_shorter_10
1587730440.0,2020-04-24 12:14:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,88,22,0,318,"{'104.28.0.0/19', '162.159.32.0/23', '104.19.96.0/20', '162.159.13.0/24', '104.19.224.0/20', '162.159.216.0/21', '162.159.11.0/24', '162.159.14.0/24', '104.27.128.0/19', '162.159.15.0/24', '172.64.112.0/20', '108.162.196.0/24', '104.16.224.0/20', '162.159.46.0/24', '104.27.160.0/19', '104.17.64.0/20', '162.159.12.0/24', '162.159.192.0/22', '172.64.32.0/20', '104.17.0.0/20', '104.18.144.0/20', '104.16.192.0/20'}",13335,12,305,0,set(),5.0,1.0,6.0,,0,0,0,0,8.0,1.0,3.0,,1.0,1.0,,2.0,1.0,5.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730500.0,2020-04-24 12:15:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,88,0,0,6,set(),13335,2,4,1,{'103.21.244.0/24'},2.0,,,,0,0,0,0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730560.0,2020-04-24 12:16:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,88,0,0,7,set(),13335,3,4,1,{'103.21.244.0/24'},1.0,1.0,1.0,,0,0,0,0,,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730620.0,2020-04-24 12:17:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,88,0,0,4,set(),13335,1,3,0,set(),1.0,,,,0,0,0,0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730680.0,2020-04-24 12:18:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,88,0,0,27,set(),13335,9,18,1,{'173.245.49.0/24'},7.0,2.0,,,0,0,0,0,1.0,1.0,3.0,,4.0,1.0,,5.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730740.0,2020-04-24 12:19:00,6,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,88,0,0,203,set(),13335,21,182,1,{'103.21.244.0/24'},8.0,3.0,9.0,,0,0,0,0,10.0,2.0,3.0,,5.0,1.0,,5.0,2.0,8.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730800.0,2020-04-24 12:20:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,4,0,88,5,0,71,"{'104.31.64.0/20', '104.23.128.0/20', '104.24.0.0/20', '104.18.32.0/20', '104.31.240.0/20'}",13335,5,66,4,"{'162.158.232.0/22', '103.21.244.0/24', '172.68.112.0/22', '8.44.2.0/24'}",1.0,,,,0,0,0,0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730860.0,2020-04-24 12:21:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,88,1,0,16,{'104.24.32.0/20'},13335,3,13,0,set(),1.0,2.0,,,0,0,0,0,,2.0,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730920.0,2020-04-24 12:22:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,88,0,0,26,set(),13335,8,18,0,set(),2.0,1.0,4.0,,0,0,0,0,4.0,,3.0,,,1.0,,,4.0,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730980.0,2020-04-24 12:23:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,24,112,1,0,136,{'104.20.208.0/20'},13335,18,94,1,{'103.21.244.0/24'},8.0,,8.0,,0,0,0,0,3.0,,22.0,,17.0,,,1.0,,2.0,,2.0,,4.0,9.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731040.0,2020-04-24 12:24:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,10,122,0,0,94,set(),13335,12,72,0,set(),5.0,1.0,4.0,,0,0,0,0,4.0,1.0,6.0,,10.0,2.0,,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731100.0,2020-04-24 12:25:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,122,0,0,202,set(),13335,8,194,1,{'103.21.244.0/24'},3.0,,3.0,2.0,0,0,0,0,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731160.0,2020-04-24 12:26:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,2,124,0,0,12,set(),13335,2,8,0,set(),2.0,,,,0,0,0,0,,,2.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731220.0,2020-04-24 12:27:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,124,0,0,8,set(),13335,2,6,1,{'103.21.244.0/24'},2.0,,,,0,0,0,0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731280.0,2020-04-24 12:28:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,4,7,131,0,0,82,set(),13335,28,47,4,"{'8.20.122.0/24', '173.245.49.0/24', '8.9.231.0/24', '8.46.114.0/24'}",22.0,1.0,5.0,,0,0,0,0,15.0,3.0,2.0,,15.0,,,8.0,2.0,13.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731340.0,2020-04-24 12:29:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,1,132,0,0,87,set(),13335,18,68,2,"{'103.21.244.0/24', '162.158.76.0/22'}",13.0,3.0,2.0,,0,0,0,0,10.0,4.0,1.0,,4.0,1.0,,5.0,1.0,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731400.0,2020-04-24 12:30:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,7,0,132,0,0,95,set(),13335,21,74,7,"{'172.69.160.0/24', '172.68.64.0/22', '173.245.63.0/24', '188.114.104.0/24', '173.245.54.0/24', '103.21.244.0/24', '172.69.60.0/22'}",14.0,,7.0,,0,0,0,0,10.0,4.0,1.0,,6.0,,,2.0,,17.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731460.0,2020-04-24 12:31:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,132,0,0,4,set(),13335,1,3,0,set(),1.0,,,,0,0,0,0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731520.0,2020-04-24 12:32:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,132,0,0,5,set(),13335,2,3,1,{'103.21.244.0/24'},2.0,,,,0,0,0,0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731580.0,2020-04-24 12:33:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,1,133,0,0,16,set(),13335,4,11,1,{'103.21.244.0/24'},2.0,,2.0,,0,0,0,0,1.0,,2.0,,2.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731640.0,2020-04-24 12:34:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,10,0,133,0,0,611,set(),13335,35,576,6,"{'172.64.96.0/20', '162.158.232.0/22', '172.64.128.0/20', '172.64.160.0/20', '172.68.112.0/22', '8.44.2.0/24'}",16.0,2.0,13.0,2.0,0,0,0,0,14.0,2.0,6.0,2.0,10.0,1.0,1.0,11.0,3.0,9.0,,,,4.0,5.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1587731700.0,2020-04-24 12:35:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,133,0,0,33,set(),13335,7,26,1,{'103.21.244.0/24'},5.0,,2.0,,0,0,0,0,1.0,,,,6.0,,,4.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731760.0,2020-04-24 12:36:00,6,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,134,0,0,6,set(),13335,0,5,0,set(),,,,,0,0,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731820.0,2020-04-24 12:37:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,134,0,0,10,set(),13335,2,8,0,set(),2.0,,,,0,0,0,0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731880.0,2020-04-24 12:38:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,135,0,0,25,set(),13335,4,20,0,set(),4.0,,,,0,0,0,0,3.0,,1.0,,1.0,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587731940.0,2020-04-24 12:39:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,7,142,22,0,699,"{'104.20.240.0/20', '104.20.224.0/20', '104.20.0.0/20', '104.20.192.0/20', '104.23.96.0/20', '104.20.112.0/20', '104.20.128.0/20', '104.22.16.0/20', '104.27.192.0/20', '104.27.112.0/20', '104.20.64.0/20', '104.20.176.0/20', '104.20.160.0/20', '104.24.128.0/20', '104.22.32.0/20', '104.20.80.0/20', '104.20.96.0/20', '104.25.240.0/20', '104.20.144.0/20', '104.20.48.0/20', '104.20.32.0/20', '104.25.144.0/20'}",13335,42,650,1,{'162.158.143.0/24'},16.0,9.0,15.0,,0,0,0,0,12.0,22.0,7.0,,3.0,,,9.0,11.0,9.0,,1.0,5.0,2.0,7.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1587732000.0,2020-04-24 12:40:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,14,156,0,0,57,set(),13335,33,10,1,{'162.158.143.0/24'},13.0,9.0,11.0,,0,0,0,0,2.0,38.0,1.0,,3.0,,,12.0,7.0,11.0,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732060.0,2020-04-24 12:41:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,1,157,0,0,77,set(),13335,59,17,2,"{'103.21.244.0/24', '162.158.143.0/24'}",50.0,3.0,6.0,,0,0,0,0,10.0,41.0,1.0,,2.0,,,1.0,,51.0,,,6.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732120.0,2020-04-24 12:42:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,3,0,157,1,0,52,{'104.25.208.0/20'},13335,39,13,2,"{'103.21.244.0/24', '162.158.143.0/24'}",33.0,2.0,4.0,,0,0,0,0,6.0,30.0,1.0,,1.0,1.0,,4.0,,33.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732180.0,2020-04-24 12:43:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,0,157,0,0,65,set(),13335,48,17,1,{'162.158.143.0/24'},43.0,,3.0,2.0,0,0,0,0,6.0,40.0,,1.0,,,,1.0,,44.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732240.0,2020-04-24 12:44:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,2,159,2,0,493,"{'104.28.48.0/20', '104.31.128.0/20'}",13335,53,438,0,set(),21.0,8.0,18.0,4.0,0,0,0,0,16.0,22.0,5.0,3.0,3.0,1.0,1.0,7.0,4.0,24.0,2.0,,6.0,4.0,4.0,3.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1587732300.0,2020-04-24 12:45:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,159,0,0,16,set(),13335,14,2,1,{'103.21.244.0/24'},7.0,4.0,2.0,,0,0,0,0,5.0,7.0,1.0,,,1.0,,,,8.0,,,,,4.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1587732360.0,2020-04-24 12:46:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,4,163,0,0,265,set(),13335,9,252,0,set(),6.0,,1.0,,0,0,0,0,1.0,4.0,2.0,,5.0,1.0,,,,4.0,,,,1.0,2.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1587732420.0,2020-04-24 12:47:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,163,3,0,357,"{'104.19.208.0/20', '104.18.16.0/20', '104.19.176.0/20'}",13335,29,328,1,{'103.21.244.0/24'},20.0,4.0,5.0,,0,0,0,0,4.0,12.0,5.0,,7.0,,,9.0,,11.0,,,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587732480.0,2020-04-24 12:48:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,163,0,0,22,set(),13335,18,4,0,set(),13.0,1.0,2.0,1.0,0,0,0,0,3.0,9.0,,,,,,1.0,1.0,12.0,,,4.0,,2.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1587732540.0,2020-04-24 12:49:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,6,0,163,0,0,25,set(),13335,15,10,5,"{'173.245.49.0/24', '162.158.232.0/22', '103.21.244.0/24', '172.68.112.0/22', '8.44.2.0/24'}",6.0,,2.0,1.0,0,0,0,0,,1.0,3.0,3.0,3.0,,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,,3.0,,5.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1587732600.0,2020-04-24 12:50:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,0,163,0,0,3,set(),13335,3,0,2,"{'162.158.232.0/22', '172.68.112.0/22'}",1.0,,1.0,,0,0,0,0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1587732660.0,2020-04-24 12:51:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,163,0,0,72,set(),13335,7,65,0,set(),2.0,1.0,2.0,,0,0,0,0,,,5.0,,2.0,,1.0,1.0,,,,,,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
