流量速率(Mbps),BQR,ASSOLO,PTR,pathload,Spruce
0.00,0.28,18.66,3.92,2.30,98.04
100.00,0.21,22.63,4.64,6.78,100.00
200.00,0.27,19.37,3.79,9.35,99.92
300.00,0.32,35.50,1.43,4.47,100.00
400.00,0.44,30.91,1.12,3.55,100.00
500.00,0.63,31.82,0.99,2.60,100.00
600.00,0.71,60.18,0.85,3.08,100.00
700.00,0.55,45.40,4.36,5.46,100.00
800.00,0.59,10.65,6.73,8.96,100.00
900.00,0.65,145.73,13.34,79.53,100.00
