流量速率(Mbps),BQR,ASSOLO,PTR,pathload,Spruce
0.00,0.52,0.17,0.78,9.51,0.14
100.00,0.47,0.17,0.78,13.35,0.14
200.00,0.42,0.17,1.05,9.07,0.14
300.00,0.38,0.17,1.06,8.84,0.14
400.00,0.33,0.17,1.04,22.00,0.14
500.00,0.29,0.17,1.27,13.22,0.14
600.00,0.29,0.17,1.31,13.75,0.14
700.00,0.29,0.17,1.54,13.89,0.14
800.00,0.29,0.17,2.08,6.29,0.14
900.00,0.29,0.17,4.69,5.24,0.14
